ANO_ELEICAO,NUM_TURNO,SIGLA_UE,DESCRICAO_CARGO,APTOS,COMPARECIMENTO
2002,1,RS,DEPUTADO FEDERAL,7352139,6396973
2002,1,RS,GOVERNADOR,7352139,6396989
2002,1,RS,SENADOR,14704278,12793978
2002,1,SC,DEPUTADO ESTADUAL,3817974,3301569
2002,1,SC,DEPUTADO FEDERAL,3817974,3301569
2002,1,SC,GOVERNADOR,3817974,3301569
2002,1,SC,SENADOR,7635948,6603138
2002,1,SE,DEPUTADO ESTADUAL,1147933,949192
2002,1,SE,DEPUTADO FEDERAL,1147933,949192
2002,1,SE,GOVERNADOR,1147933,949189
2002,1,SE,SENADOR,2295866,1898378
2002,1,SP,DEPUTADO ESTADUAL,25651378,21564875
2002,1,SP,DEPUTADO FEDERAL,25651378,21564875
2002,1,SP,GOVERNADOR,25651378,21564887
2002,1,SP,SENADOR,51302756,43129774
2002,1,TO,DEPUTADO ESTADUAL,785397,623575
2002,1,TO,DEPUTADO FEDERAL,785397,623575
2002,1,TO,GOVERNADOR,785397,623579
2002,1,TO,SENADOR,1570794,1247158
2002,2,AP,GOVERNADOR,290101,237820
2002,2,CE,GOVERNADOR,4805259,3699233
2002,2,DF,GOVERNADOR,1518437,1310715
2002,2,MS,GOVERNADOR,1411773,1119145
2002,2,PA,GOVERNADOR,3569333,2588852
2002,2,PB,GOVERNADOR,2322068,1894314
2002,2,PR,GOVERNADOR,6663257,5428354
2002,2,RN,GOVERNADOR,1917382,1520599
2002,2,RO,GOVERNADOR,882545,641443
2002,2,RR,GOVERNADOR,208524,170766
2002,2,RS,GOVERNADOR,7352139,6278208
2002,2,SC,GOVERNADOR,3817974,3238941
2002,2,SE,GOVERNADOR,1147933,945260
2002,2,SP,GOVERNADOR,25655553,21493289
2006,1,AC,DEPUTADO ESTADUAL,412840,334418
2006,1,AC,DEPUTADO FEDERAL,412840,334418
2006,1,AC,GOVERNADOR,412840,334418
2006,1,AC,SENADOR,412840,334418
2006,1,AL,DEPUTADO ESTADUAL,1859487,1513750
2006,1,AL,DEPUTADO FEDERAL,1859487,1513750
2006,1,AL,GOVERNADOR,1859487,1513750
2006,1,AL,SENADOR,1859487,1513750
2006,1,AM,DEPUTADO ESTADUAL,1781246,1464976
